store_id,store_name,rq_store_name,store_active,store_email,store_address,store_city,store_state,store_zip,store_phone,store_uid,store_district_id,store_image
0100,"WWWhite (S)",NULL,1,NULL,"1848 S Ww White Rd","San Antonio",TX,78220,"(210) 437-3829",80193100,49,sites/default/files/pictures_store/100_FV.jpg
0101,"SEM (S)",NULL,1,NULL,"3103 SE Military Dr Ste 107T","San Antonio",TX,78223,"(210) 359-6666",80193101,49,sites/default/files/pictures_store/101_FV.jpg
0102,"Gmac (S)",NULL,1,NULL,"4622 W Commerce St Ste 104T","San Antonio",TX,78237,"(210) 438-8181",80193102,45,sites/default/files/pictures_store/102.png
0103,"Old Pearsal (S)",NULL,1,NULL,"6338 Old Pearsall Rd Ste 106T","San Antonio",TX,78242,"(210) 375-5592",80193103,45,sites/default/files/pictures_store/103_FV.jpg
0104,"Kingsville (S)",NULL,1,NULL,"307 S 14th St",Kingsville,TX,78363,"(361) 221-2119",80193104,576,sites/default/files/pictures_store/104_FV.jpg
0105,"Robstown (S)",NULL,1,NULL,"322 W Avenue J",Robstown,TX,78380,"(361) 933-5038",80193105,576,sites/default/files/pictures_store/105_FV.jpg
0106,"Uvalde (S)",NULL,1,NULL,"3250 E Main St Ste A",Uvalde,TX,78801,"(830) 261-5178",80193106,46,sites/default/files/pictures_store/106_FV.jpg
0107,"Brooksville (S)",NULL,1,NULL,"19530 Cortez Blvd.",Brooksville,FL,34601,"(352) 631-8999",80193107,42,sites/default/files/pictures_store/107_FV.jpg
0108,"Corpus (S)",NULL,1,NULL,"14017 Northwest Blvd Ste 111T","Corpus Christi",TX,78410,"(361) 248-4255",80193108,576,sites/default/files/pictures_store/108_FV.jpg
0109,"Spring Hill (S)",NULL,1,NULL,"11190 Spring Hill Dr.","Spring Hill",FL,34609,"(352) 340-1520",80193109,42,sites/default/files/pictures_store/109_FV.jpg
0110,"Fredericksburg (S)",NULL,1,NULL,"4433 Fredericksburg Rd","San Antonio",TX,78201,"(210) 731-0148",80193110,45,sites/default/files/pictures_store/110_FV.jpg
0111,"Fresno (S)",NULL,1,NULL,"833 Fresno","San Antonio",TX,78212,"(210) 251-2021",80193111,46,sites/default/files/pictures_store/111_FV.jpg
0112,"Inverness (S)",NULL,1,NULL,"451 E. Highland Blvd.",Inverness,FL,34452,"(352) 464-6355",80193112,33,sites/default/files/pictures_store/112_FV.jpg
0113,"Hwy 359 (S)",NULL,1,NULL,"3802 State Highway 359 Ste 2",Laredo,TX,78043,"(956) 723-2647",80193113,48,sites/default/files/pictures_store/113_FV.jpg
0115,"Fort Worth (S)",NULL,1,NULL,"4125 E Lancaster Ave Ste D","Fort Worth",TX,76103,"(682) 708-3888",80193115,51,sites/default/files/pictures_store/115_FV.jpg
0116,"Garland Rd (S)",NULL,1,NULL,"10806 Garland Rd",Dallas,TX,75218,"(469) 930-8190",80193116,50,sites/default/files/pictures_store/116_FV.jpg
0118,"Fulton (S)",NULL,1,NULL,"2445 Fulton St",Houston,TX,77009,"(713) 561-3065",80193118,577,sites/default/files/pictures_store/118_FV.jpg
0120,"Bisonett (S)",NULL,1,NULL,"11883 Bissonnet St Ste C",Houston,TX,77099,"(346) 888-5809",80193120,44,sites/default/files/pictures_store/120_FV.jpg
0121,"Jupiter (S)",NULL,1,NULL,"424 N Jupiter Rd",Garland,TX,75042,"(469) 814-0332",80193121,50,sites/default/files/pictures_store/121_FV.jpg
